epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7825,0.76515,5.17018,1.10453,0,0,0,0,0.41197,5.10252,0.93687,1.296e-05,1.296e-05,1.296e-05
2,165.637,0.50792,5.06498,0.98856,0,0,0,0,0.30466,5.00741,0.85314,2.6109e-05,2.6109e-05,2.6109e-05
3,247.225,0.41379,4.94062,0.92774,0,0,0,0,0.24475,4.9318,0.81127,3.83314e-05,3.83314e-05,3.83314e-05
4,325.072,0.3612,4.78518,0.89747,0,0,0,0,0.23347,4.86724,0.79621,4.96271e-05,4.96271e-05,4.96271e-05
5,400.545,0.33298,4.61919,0.89365,0.00655,0.0494,0.00558,0.0054,0.24263,4.79485,0.80061,5.99962e-05,5.99962e-05,5.99962e-05
6,477.433,0.31624,4.47275,0.88447,0.01663,0.34554,0.02021,0.01982,0.26252,4.62798,0.81275,6.94386e-05,6.94386e-05,6.94386e-05
7,555.992,0.31467,4.34208,0.88759,0.01451,0.51887,0.02484,0.02447,0.26662,4.47905,0.81519,7.79544e-05,7.79544e-05,7.79544e-05
8,633.171,0.35624,4.2771,0.9133,0.01599,0.70183,0.03551,0.03476,0.2377,4.29332,0.8169,8.3052e-05,8.3052e-05,8.3052e-05
9,709.353,0.32637,4.17373,0.8957,0.01668,0.77364,0.0455,0.04459,0.23228,4.19877,0.8148,7.9488e-05,7.9488e-05,7.9488e-05
10,786.213,0.30603,4.06317,0.88098,0.01539,0.78448,0.05403,0.05294,0.21895,4.1433,0.81565,7.5924e-05,7.5924e-05,7.5924e-05
11,864.327,0.3309,4.01474,0.90276,0.01569,0.81563,0.06211,0.06069,0.2231,4.09237,0.81869,7.236e-05,7.236e-05,7.236e-05
12,942.95,0.32987,3.96824,0.90636,0.01533,0.87141,0.06645,0.06441,0.22507,4.04229,0.82345,6.8796e-05,6.8796e-05,6.8796e-05
13,1023.1,0.29104,3.8745,0.89092,0.19207,0.23663,0.07785,0.0754,0.22847,3.99217,0.82025,6.5232e-05,6.5232e-05,6.5232e-05
14,1099.7,0.29794,3.82195,0.8838,0.37391,0.13952,0.08843,0.08663,0.22772,3.9547,0.81962,6.1668e-05,6.1668e-05,6.1668e-05
15,1176.31,0.28669,3.74367,0.87359,0.42769,0.11561,0.101,0.0992,0.22054,3.89945,0.81783,5.8104e-05,5.8104e-05,5.8104e-05
16,1251.98,0.26427,3.73998,0.86982,0.47073,0.11125,0.1176,0.11544,0.21934,3.83556,0.81753,5.454e-05,5.454e-05,5.454e-05
17,1326.93,0.28183,3.72555,0.87187,0.46325,0.13705,0.12517,0.1233,0.21851,3.77807,0.81754,5.0976e-05,5.0976e-05,5.0976e-05
18,1402.4,0.28222,3.64153,0.88557,0.44043,0.13737,0.13841,0.13633,0.21072,3.72677,0.81787,4.7412e-05,4.7412e-05,4.7412e-05
19,1477.77,0.28485,3.60189,0.88573,0.48883,0.1338,0.15378,0.15169,0.2075,3.6839,0.81844,4.3848e-05,4.3848e-05,4.3848e-05
20,1553.71,0.31724,3.62366,0.9187,0.54278,0.14011,0.17387,0.17153,0.2084,3.64262,0.81957,4.0284e-05,4.0284e-05,4.0284e-05
21,1632.45,0.26985,3.70795,0.87104,0.48116,0.18068,0.19357,0.1887,0.20601,3.56403,0.82123,3.672e-05,3.672e-05,3.672e-05
22,1711.69,0.24506,3.59291,0.85379,0.58816,0.18743,0.21034,0.20533,0.21161,3.5091,0.82405,3.3156e-05,3.3156e-05,3.3156e-05
23,1790.02,0.27545,3.53982,0.88168,0.63296,0.18493,0.22423,0.22033,0.2125,3.46858,0.82187,2.9592e-05,2.9592e-05,2.9592e-05
24,1867.8,0.24662,3.53543,0.86287,0.64177,0.18557,0.24652,0.24258,0.20759,3.43242,0.8192,2.6028e-05,2.6028e-05,2.6028e-05
25,1943.72,0.25025,3.52107,0.88195,0.57751,0.2076,0.25994,0.25565,0.20549,3.40497,0.81946,2.2464e-05,2.2464e-05,2.2464e-05
26,2022.88,0.24674,3.47325,0.87688,0.57037,0.2258,0.26954,0.26548,0.20473,3.37093,0.82055,1.89e-05,1.89e-05,1.89e-05
27,2105.08,0.2309,3.39891,0.86646,0.55014,0.23346,0.27805,0.27429,0.20036,3.33418,0.82018,1.5336e-05,1.5336e-05,1.5336e-05
28,2187.03,0.23448,3.41446,0.8729,0.61547,0.24027,0.28783,0.28413,0.1959,3.29185,0.81813,1.1772e-05,1.1772e-05,1.1772e-05
29,2268.48,0.24131,3.37031,0.86348,0.58566,0.24161,0.29461,0.29067,0.19214,3.27165,0.81731,8.208e-06,8.208e-06,8.208e-06
30,2355.12,0.23734,3.41349,0.86551,0.58643,0.24534,0.29697,0.29312,0.19077,3.25717,0.8164,4.644e-06,4.644e-06,4.644e-06
1,211.2,1.6941,2.13597,1.75264,0.82637,0.78821,0.84713,0.54614,1.17138,1.8377,1.29058,0.000661333,0.000661333,0.000661333
2,583.741,1.34815,1.41327,1.4626,0.87219,0.71029,0.76445,0.52936,1.10301,1.25644,1.30344,0.00130171,0.00130171,0.00130171
